snapshot_date,change_type,listing_key,来源,listing_id,タイトル,url,old_本体価格,new_本体価格,old_総価格,new_総価格
2026-04-11,new,webike:1992303,webike,1992303,CB400スーパーフォア /ホンダ,https://moto.webike.net/bike_detail/1992303/,,1540000,,1640200
2026-04-11,new,webike:2430510,webike,2430510,CB400スーパーフォア /ホンダ,https://moto.webike.net/bike_detail/2430510/,,1595000,,
2026-04-11,new,webike:2431716,webike,2431716,CB400スーパーフォア /ホンダ 最終型 ABS ラジアルタイヤ LEDヘッドライト リターン式・6段変速,https://moto.webike.net/bike_detail/2431716/,,1659000,,1721000
2026-04-11,removed,webike:1989800,webike,1989800,CB400スーパーフォア /ホンダ,https://moto.webike.net/bike_detail/1989800/,1494900,,1601500,
2026-04-11,removed,webike:2359773,webike,2359773,CB400スーパーフォア /ホンダ ETC ドライブレコーダー エンジンガード USB電源,https://moto.webike.net/bike_detail/2359773/,,,,
2026-04-11,removed,webike:2403421,webike,2403421,CB400スーパーフォア /ホンダ,https://moto.webike.net/bike_detail/2403421/,1238000,,1300900,
